"Id";"Id_material";"Material_desc";"Material_type";"Uom";"Family";"is_active";"Crtdt";"Crtby";"Upddt";"Updby"
"1982";"616117";"ALT. KAPPA 3CYL NEW OAP TG9 04080 V/S";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"1983";"TM931C01401";"ADJUST WASHER.DAEDONG BS NEW";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"1984";"TM931C01701";"ADJUST WASHER(I/GEAR).1TON(TS20K,TS24K)";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"1985";"TM937C00201";"SPL  WASHER.TS20K,TS24K";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"1986";"TM940N00101";"CLUTCH SET ASS'Y.TS20K";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"1987";"TM940N00201";"CLUTCH SET ASS'Y.Y-200";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"1988";"TM940N00301";"CLUTCH SET ASS'Y.A-ENG. O/H..";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"1989";"TM940N00401";"CLUTCH SET ASS'Y.S-ENG";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"1990";"TM950C01601";"O-RING.L-ENGINE(ARMY)";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"1991";"TM950C01701";"O-RING.L-ENGINE(ARMY)";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"1992";"TM975C00334";"NAME PLATE GALLOPER 22KW";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"1993";"G0002715976";"COMPLETE F/HOUSING.KAPPA 3CYL NEW AMS-D";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"1994";"600712";"NAME PLATE TB ALPHA (VALEO SERVICE)";"COMP";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"1995";"2627324";"SLIP RING ASS'Y_2 RING.FG15";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"1996";"G4022603779";"F/BRACKET M/C.M1G";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"1997";"616413";"S/T. W-3 V/SERVICE";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"1998";"616292";"ALT. U2-ENG(TG9) AMS. 12V 90A.TG9 V/S";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"1999";"2EM0580";"F/BKT M/C.CS/VT 3TON";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2000";"616407";"S/T. DAEDONG M44V/SERVICE";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2001";"616414";"S/T. KUKJE 50HP.VALEO SERVICE";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2002";"A0002627447";"ALT. DAEDONG TF110 TRACTOR";"FING";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2003";"616452";"S/T. TQ A-ENG TS24KS V/SERVICE";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2004";"616467";"S/T. NU-S SECOND V/S";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2005";"D0002655279";"RECTIFIER ASS'Y.TENNANT 6G";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
